References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R24	1					AC0603FR-10100KL					P100KHCT-ND	71RCA0603100KJNEC			
R38	1		CTS			73L2R47J					73L2R47JCT-ND	77473L2R47J			
R49, R50, R52, R53	4					AC0603JR-0727RL					311-27.0HRCT-ND	603AC0603JR0727RL			
R56	1														
RD9, RD51, RD52	3		Yageo	RC0805JR-070RL	ST			STPS2L30AF							
RP1, RP2, RP3	3			RC0805JR-070RL											
RV2	1														
RV3	1					RC0805JR-070RL					YAG1327CT-ND	71RCG08050000Z0EA			
SD1	1					SCHD3A0100		47219-2001			WM6698DKR-ND	538472192001			
SW1	1					219-4MST					CT2194MST-ND	7742194MST			
U1	1		Lattice		Lattice	LFE5U-85F-6BG381C		LFE5U-12F-6BG381C			220-2071-ND	842LFE5U85F6BG381C			
U2	1		Micron		ISSI	MT48LC16M16A2TG-6A		IS42S16160G-7TL-TR			1450-1352-1-ND	9134816M16A2TG6AGTR			
U3, U4, U5	3		TI		DIOO	TLV62569DBVR		DIO6015BCST5			296-47360-1-ND	595TLV62569DBVR			
U6	1					FT231XS					768-1129-1-ND	895FT231XSR			
U7	1					MCP7940NT-I/SN	https://www.nxp.com/docs/en/packing/SOT96-1_118.pdf	PCF8523T/1,118			MCP7940NT-I/SNCT-ND	579MCP7940NTI/SN			
U8	1					MAX11125ATI+		MAX11123ATI+			MAX11125ATI+-ND	700MAX11125ATI+			
U9	1					ESP-WROOM-32					1904-1010-1-ND	356ESPWROOM32			
U10	1					IS25LP128F-JBLE		IS25LP032D-JNLE-TR		IS25LP032D-JNLA3	W25Q128JVSIQCT-ND	870IS25LP128FJBLE			
U11	1					PCA9306D					568-4215-1-ND	771PCA9306DT			
US1, US2	2		FCI		Molex	10118192-0001LF		47346-0001			609-4613-1-ND	649101181920001LF			
Y1	1					FNETHE025					FNETHE025CT-ND	729FNETHE025			
Y2	1					LFXTAL016178REEL		CM7V-T1A-32.768k-9pF-20PPM-TA-QA T3		LFXTAL003000Reel	1923-1021-1-ND	449LFXTAL016178REEL			
